,District,average_pm25_value
0, Dobong-gu,25.73327668778001
1, Dongdaemun-gu,22.692595738109944
2, Dongjak-gu,24.37302077701398
3, Eunpyeong-gu,24.890639481000928
4, Gangbuk-gu,21.72609300169937
5, Gangdong-gu,24.90507257566399
6, Gangnam-gu,24.089291229153798
7, Gangseo-gu,23.4138809542191
8, Geumcheon-gu,24.89322112415071
9, Guro-gu,30.817240846593542
10, Gwanak-gu,27.63732870102297
11, Gwangjin-gu,29.293504286707346
12, Jongno-gu,22.850453580389885
13, Jung-gu,22.86716850028952
14, Jungnang-gu,22.151547903960473
15, Mapo-gu,29.85060799073538
16, Nowon-gu,24.247519783825517
17, Seocho-gu,29.85273113298591
18, Seodaemun-gu,22.845345693317885
19, Seongbuk-gu,25.85481567265007
20, Seongdong-gu,25.503302305820554
21, Songpa-gu,23.995869523258058
22, Yangcheon-gu,25.726528721432985
23, Yeongdeungpo-gu,31.421487603305785
24, Yongsan-gu,23.670436998147004
