NAME,universe,no_internet,state,county,geoid
"Washington County, Mississippi",18299.0,6166.0,28,151,28151
"Perry County, Mississippi",4563.0,1415.0,28,111,28111
"Choctaw County, Mississippi",3164.0,1167.0,28,019,28019
"Itawamba County, Mississippi",8706.0,1970.0,28,057,28057
"Carroll County, Mississippi",3658.0,1218.0,28,015,28015
"Grenada County, Mississippi",8224.0,2667.0,28,043,28043
"Jefferson County, Mississippi",2530.0,961.0,28,063,28063
"Greene County, Mississippi",4172.0,1134.0,28,041,28041
"Marshall County, Mississippi",13074.0,4881.0,28,093,28093
"Quitman County, Mississippi",3055.0,1395.0,28,119,28119
"Bolivar County, Mississippi",12159.0,4942.0,28,011,28011
"Lamar County, Mississippi",22213.0,3330.0,28,073,28073
"Lee County, Mississippi",32267.0,7340.0,28,081,28081
"Pike County, Mississippi",14676.0,6026.0,28,113,28113
"Tallahatchie County, Mississippi",4253.0,1949.0,28,135,28135
"Smith County, Mississippi",5872.0,2536.0,28,129,28129
"Stone County, Mississippi",6135.0,1649.0,28,131,28131
"Warren County, Mississippi",18766.0,4422.0,28,149,28149
"Clarke County, Mississippi",6258.0,2296.0,28,023,28023
"Kemper County, Mississippi",3710.0,1644.0,28,069,28069
"Montgomery County, Mississippi",4619.0,1377.0,28,097,28097
"Oktibbeha County, Mississippi",17687.0,3319.0,28,105,28105
"Pearl River County, Mississippi",20752.0,4368.0,28,109,28109
"Leake County, Mississippi",8168.0,2866.0,28,079,28079
"Noxubee County, Mississippi",4020.0,1594.0,28,103,28103
"Neshoba County, Mississippi",10699.0,3342.0,28,099,28099
"Rankin County, Mississippi",55595.0,8657.0,28,121,28121
"Tate County, Mississippi",10264.0,2671.0,28,137,28137
"Lawrence County, Mississippi",4793.0,2084.0,28,077,28077
"Panola County, Mississippi",12447.0,4954.0,28,107,28107
"Yalobusha County, Mississippi",5161.0,2358.0,28,161,28161
"Chickasaw County, Mississippi",6426.0,2628.0,28,017,28017
"Copiah County, Mississippi",9623.0,4218.0,28,029,28029
"George County, Mississippi",7362.0,2438.0,28,039,28039
"Hinds County, Mississippi",88705.0,20041.0,28,049,28049
"Newton County, Mississippi",8042.0,2651.0,28,101,28101
"Union County, Mississippi",9951.0,2973.0,28,145,28145
"Sharkey County, Mississippi",1755.0,649.0,28,125,28125
