neighborhood,price_per_person,overall_satisfaction,N
ALLEGHENY_WEST,120.79166666666664,4.666666666666667,23
BELLA_VISTA,87.40792031098154,3.158333333333333,204
BELMONT,69.425,3.25,11
BREWERYTOWN,71.78818770226538,1.943181818181818,142
BUSTLETON,55.83333333333333,1.25,19
CALLOWHILL,94.73326923076921,3.0172413793103448,143
CEDAR_PARK,39.053171091445435,3.22,261
CENTER_CITY,110.12702777777777,2.5277777777777777,168
CHESTNUT_HILL,69.12347756410257,3.4444444444444446,74
CHINATOWN,48.47666666666666,2.984848484848485,101
COBBS_CREEK,67.64605734767025,2.03125,42
DICKINSON_NARROWS,62.62639311043566,3.227272727272727,125
EASTWICK,63.56666666666667,2.142857142857143,18
EAST_FALLS,64.49122807017545,2.5222222222222217,156
EAST_KENSINGTON,58.984428024083186,2.602564102564102,108
EAST_OAK_LANE,113.24358974358977,4.8,20
EAST_PARK,193.38888888888889,2.7142857142857144,42
EAST_PASSYUNK,81.25367647058825,3.716981132075472,190
EAST_POPLAR,69.16436781609197,3.35,36
FAIRMOUNT,144.76411027568926,2.903614457831325,463
FISHTOWN,59.283467850417026,2.9638157894736836,477
FITLER_SQUARE,145.58653846153848,3.5526315789473686,78
FOX_CHASE,57.05494505494505,1.0,16
FRANCISVILLE,124.79579483534704,3.1640625,300
FRANKFORD,28.500000000000004,3.583333333333333,19
FRANKLINVILLE,74.96875,2.409090909090909,12
GARDEN_COURT,45.95437500000001,3.467391304347826,93
GERMANTOWN_EAST,86.875,3.75,12
GERMANTOWN_MORTON,37.35714285714286,3.75,12
GERMANTOWN_PENN_KNOX,36.030701754385966,4.666666666666667,21
GERMANTOWN_SOUTHWEST,39.10526315789474,3.083333333333333,25
GERMANTOWN_WESTSIDE,49.83012820512821,2.375,27
GERMANTOWN_WEST_CENT,57.004884004884005,2.891891891891892,90
GERMANY_HILL,135.20833333333331,5.0,20
GIRARD_ESTATES,90.46111111111112,2.875,78
GRADUATE_HOSPITAL,106.42041684541695,3.180790960451977,649
GRAYS_FERRY,66.83353510895884,3.0357142857142856,65
GREENWICH,57.55757575757576,2.5,14
HADDINGTON,58.5,1.125,12
HARROWGATE,24.79642857142857,3.458333333333333,16
HARTRANFT,77.10529953917052,2.8,73
HAVERFORD_NORTH,102.025,4.0,11
HAWTHORNE,120.89836601307192,3.4090909090909087,152
HOLMESBURG,47.441176470588225,0.5555555555555556,19
KINGSESSING,41.005,2.78125,44
LAWNDALE,42.344444444444434,0.5,19
LOGAN,63.58259803921569,2.8,18
LOGAN_SQUARE,145.4394137517707,3.1392405063291138,510
LOWER_MOYAMENSING,72.6054794520548,2.838709677419355,100
LUDLOW,63.33333333333334,4.4,11
MANAYUNK,111.48459595959595,2.7931034482758617,148
MANTUA,96.52777777777777,2.96875,162
MAYFAIR,67.2051282051282,1.0,16
MILL_CREEK,53.02083333333334,4.357142857142857,37
MOUNT_AIRY_EAST,47.59808558558559,3.4354838709677415,93
MOUNT_AIRY_WEST,52.799915966386564,3.46875,115
NEWBOLD,82.83662818662819,2.9761904761904763,121
NORTHERN_LIBERTIES,145.00486641221374,3.0955056179775284,367
NORTH_CENTRAL,72.62795857988166,1.8559322033898304,197
OGONTZ,35.38919413919414,2.25,13
OLD_CITY,111.70808378334152,2.7566371681415935,352
OLD_KENSINGTON,75.64120879120878,2.9459459459459465,118
OLNEY,66.59147869674185,2.4166666666666665,22
OVERBROOK,83.71734693877548,1.0833333333333333,111
OXFORD_CIRCLE,58.74999999999999,0.0,16
PACKER_PARK,194.32291666666663,0.0,26
PASCHALL,21.722222222222218,4.071428571428571,12
PASSYUNK_SQUARE,86.23984477769005,3.7426470588235294,232
PENNSPORT,88.77389682539682,3.1,100
PENNYPACK,151.7891666666667,1.0,12
POINT_BREEZE,63.801071927722894,2.7595419847328246,435
POWELTON,77.6970319634703,2.6730769230769234,79
QUEEN_VILLAGE,106.40574424015438,3.125,248
RHAWNHURST,50.18055555555557,0.0,14
RICHMOND,79.4326105442177,2.613636363636364,71
RITTENHOUSE,136.26399583945644,3.000924214417745,1499
RIVERFRONT,138.6260162601626,2.8409090909090913,58
ROXBOROUGH,88.50464576074332,3.270833333333333,124
SHARSWOOD,387.6269841269841,5.0,31
SOCIETY_HILL,133.59866666666667,3.1184210526315788,165
SOMERTON,51.95833333333334,0.0,16
SOUTHWEST_SCHUYLKILL,83.0986394557823,2.375,26
SPRING_GARDEN,157.1256921373201,3.454022988505747,413
SPRUCE_HILL,48.09551206784088,2.3773584905660377,399
STADIUM_DISTRICT,118.9810606060606,2.875,31
STANTON,77.95666666666666,1.25,27
TACONY,50.78125,0.6666666666666666,11
TIOGA,44.63636363636363,3.8333333333333335,14
UNIVERSITY_CITY,82.22806176783813,2.231578947368421,326
UPPER_ROXBOROUGH,96.72419354838706,3.2307692307692313,43
WALNUT_HILL,55.03358208955225,3.1041666666666665,82
WASHINGTON_SQUARE,126.95911776105952,3.0637450199203187,703
WEST_KENSINGTON,39.422286821705434,3.1190476190476186,54
WEST_OAK_LANE,49.25,1.6666666666666667,18
WEST_PASSYUNK,48.84649122807017,3.5,48
WEST_POPLAR,130.17117442482612,2.7285714285714286,120
WEST_POWELTON,59.05678013392858,2.7333333333333334,139
WHITMAN,63.38645833333334,3.4090909090909087,50
WISSAHICKON,62.73306010928961,2.6,83
WISSAHICKON_PARK,99.54166666666669,0.0,11
WISSINOMING,77.89814814814814,0.0,12
WOODLAND_TERRACE,66.90277777777777,3.0625,22
WYNNEFIELD,97.69791666666664,2.083333333333333,55
WYNNEFIELD_HEIGHTS,131.92210144927537,0.4545454545454545,47
YORKTOWN,99.30303030303033,1.7,24
